date,categorie,defm
1996-01,A,3255500
1996-01,B,290500
1996-01,C,306100
1996-01,D,174700
1996-01,E,204100
1996-02,A,3214900
1996-02,B,294500
1996-02,C,318900
1996-02,D,181800
1996-02,E,201200
1996-03,A,3127600
1996-03,B,301e3
1996-03,C,347500
1996-03,D,188100
1996-03,E,201100
1996-04,A,3031500
1996-04,B,300400
1996-04,C,369300
1996-04,D,196100
1996-04,E,201300
1996-05,A,2990100
1996-05,B,293800
1996-05,C,370500
1996-05,D,188e3
1996-05,E,200800
1996-06,A,2947400
1996-06,B,304900
1996-06,C,383400
1996-06,D,146900
1996-06,E,198200
1996-07,A,3033600
1996-07,B,267600
1996-07,C,428200
1996-07,D,92e3
1996-07,E,192700
1996-08,A,3157500
1996-08,B,274500
1996-08,C,393900
1996-08,D,80900
1996-08,E,186900
1996-09,A,3208800
1996-09,B,337200
1996-09,C,386900
1996-09,D,125800
1996-09,E,184200
1996-10,A,3238500
1996-10,B,341e3
1996-10,C,408500
1996-10,D,165400
1996-10,E,182200
1996-11,A,3264400
1996-11,B,337500
1996-11,C,379700
1996-11,D,186700
1996-11,E,183200
1996-12,A,3251100
1996-12,B,339500
1996-12,C,410800
1996-12,D,172600
1996-12,E,178700
1997-01,A,3330700
1997-01,B,340900
1997-01,C,375200
1997-01,D,179100
1997-01,E,176600
1997-02,A,3266300
1997-02,B,345400
1997-02,C,393100
1997-02,D,181100
1997-02,E,174100
1997-03,A,3175200
1997-03,B,346800
1997-03,C,422600
1997-03,D,184800
1997-03,E,171600
1997-04,A,3075400
1997-04,B,343800
1997-04,C,469100
1997-04,D,187e3
1997-04,E,171900
1997-05,A,3036e3
1997-05,B,346e3
1997-05,C,455300
1997-05,D,175400
1997-05,E,170100
1997-06,A,3005800
1997-06,B,341400
1997-06,C,487500
1997-06,D,140300
1997-06,E,169700
1997-07,A,3069100
1997-07,B,302700
1997-07,C,529300
1997-07,D,90700
1997-07,E,166100
1997-08,A,3178900
1997-08,B,316e3
1997-08,C,477800
1997-08,D,78300
1997-08,E,161e3
1997-09,A,3211900
1997-09,B,371900
1997-09,C,506600
1997-09,D,117300
1997-09,E,162900
1997-10,A,3244500
1997-10,B,371100
1997-10,C,522900
1997-10,D,148300
1997-10,E,164900
1997-11,A,3249e3
1997-11,B,375500
1997-11,C,484400
1997-11,D,168600
1997-11,E,165500
1997-12,A,3207200
1997-12,B,363900
1997-12,C,544400
1997-12,D,161500
1997-12,E,162700
1998-01,A,3273500
1998-01,B,370400
1998-01,C,484100
1998-01,D,168800
1998-01,E,163800
1998-02,A,3212100
1998-02,B,38e4
1998-02,C,503500
1998-02,D,174400
1998-02,E,165400
1998-03,A,3107100
1998-03,B,370600
1998-03,C,554e3
1998-03,D,184600
1998-03,E,167700
1998-04,A,2999700
1998-04,B,374900
1998-04,C,580100
1998-04,D,185400
1998-04,E,171400
1998-05,A,2943e3
1998-05,B,372700
1998-05,C,572600
1998-05,D,174e3
1998-05,E,170600
1998-06,A,2894100
1998-06,B,351100
1998-06,C,595100
1998-06,D,141300
1998-06,E,171200
1998-07,A,2986e3
