date,code_region,categorie,defm,libelle_region
1996-01,11,A,605900,Île-de-France
1996-01,11,B,45e3,Île-de-France
1996-01,11,C,53300,Île-de-France
1996-01,11,D,34500,Île-de-France
1996-01,11,E,20300,Île-de-France
1996-01,24,A,119200,Centre-Val de Loire
1996-01,24,B,13800,Centre-Val de Loire
1996-01,24,C,15200,Centre-Val de Loire
1996-01,24,D,6700,Centre-Val de Loire
1996-01,24,E,7700,Centre-Val de Loire
1996-01,27,A,128800,Bourgogne-Franche-Comté
1996-01,27,B,13400,Bourgogne-Franche-Comté
1996-01,27,C,14100,Bourgogne-Franche-Comté
1996-01,27,D,5800,Bourgogne-Franche-Comté
1996-01,27,E,12400,Bourgogne-Franche-Comté
1996-01,28,A,190800,Normandie
1996-01,28,B,18200,Normandie
1996-01,28,C,18e3,Normandie
1996-01,28,D,12500,Normandie
1996-01,28,E,14200,Normandie
1996-01,32,A,377500,Nord-Pas-de-Calais-Picardie
1996-01,32,B,28200,Nord-Pas-de-Calais-Picardie
1996-01,32,C,27400,Nord-Pas-de-Calais-Picardie
1996-01,32,D,18600,Nord-Pas-de-Calais-Picardie
1996-01,32,E,21100,Nord-Pas-de-Calais-Picardie
1996-01,44,A,252100,Alsace-Champagne-Ardenne-Lorraine
1996-01,44,B,24600,Alsace-Champagne-Ardenne-Lorraine
1996-01,44,C,22100,Alsace-Champagne-Ardenne-Lorraine
1996-01,44,D,12800,Alsace-Champagne-Ardenne-Lorraine
1996-01,44,E,19e3,Alsace-Champagne-Ardenne-Lorraine
1996-01,52,A,168e3,Pays de la Loire
1996-01,52,B,24200,Pays de la Loire
1996-01,52,C,23500,Pays de la Loire
1996-01,52,D,10200,Pays de la Loire
1996-01,52,E,11200,Pays de la Loire
1996-01,53,A,136400,Bretagne
1996-01,53,B,17700,Bretagne
1996-01,53,C,17700,Bretagne
1996-01,53,D,10200,Bretagne
1996-01,53,E,8800,Bretagne
1996-01,75,A,282700,Aquitaine-Limousin-Poitou-Charentes
1996-01,75,B,34300,Aquitaine-Limousin-Poitou-Charentes
1996-01,75,C,33700,Aquitaine-Limousin-Poitou-Charentes
1996-01,75,D,15900,Aquitaine-Limousin-Poitou-Charentes
1996-01,75,E,25e3,Aquitaine-Limousin-Poitou-Charentes
1996-01,76,A,297300,Languedoc-Roussillon-Midi-Pyrénées
1996-01,76,B,25700,Languedoc-Roussillon-Midi-Pyrénées
1996-01,76,C,27800,Languedoc-Roussillon-Midi-Pyrénées
1996-01,76,D,16200,Languedoc-Roussillon-Midi-Pyrénées
1996-01,76,E,23300,Languedoc-Roussillon-Midi-Pyrénées
1996-01,84,A,342500,Auvergne-Rhône-Alpes
1996-01,84,B,23600,Auvergne-Rhône-Alpes
1996-01,84,C,29e3,Auvergne-Rhône-Alpes
1996-01,84,D,17200,Auvergne-Rhône-Alpes
1996-01,84,E,27600,Auvergne-Rhône-Alpes
1996-01,93,A,17e4,Provence-Alpes-Côte d'Azur
1996-01,93,B,11700,Provence-Alpes-Côte d'Azur
1996-01,93,C,11200,Provence-Alpes-Côte d'Azur
1996-01,93,D,6200,Provence-Alpes-Côte d'Azur
1996-01,93,E,6600,Provence-Alpes-Côte d'Azur
1996-01,94,A,15700,Corse
1996-01,94,B,300,Corse
1996-01,94,C,300,Corse
1996-01,94,D,700,Corse
1996-01,94,E,600,Corse
1996-01,NA,A,168600,NA
1996-01,NA,B,9800,NA
1996-01,NA,C,12800,NA
1996-01,NA,D,7200,NA
1996-01,NA,E,6300,NA
1996-02,11,A,601200,Île-de-France
1996-02,11,B,45700,Île-de-France
1996-02,11,C,55400,Île-de-France
1996-02,11,D,36500,Île-de-France
1996-02,11,E,20400,Île-de-France
1996-02,24,A,118100,Centre-Val de Loire
1996-02,24,B,14e3,Centre-Val de Loire
1996-02,24,C,15400,Centre-Val de Loire
1996-02,24,D,7e3,Centre-Val de Loire
